,buyback_sentiment_mean,buyback_sentiment_p10,buyback_sentiment_min,sentiment_gap,specificity,hedge_density,modified_fog,standard_fog,clarity_composite,buyback_sentence_count
count,11309.0,11309.0,11309.0,4998.0,11313.0,11309.0,11309.0,11309.0,11313.0,11313.0
mean,0.3641,0.0518,-0.043,0.1146,1.9108,0.0115,15.0578,15.1988,0.0,5.7752
std,0.2464,0.3151,0.4099,0.2087,0.8901,0.0113,3.294,3.3352,0.5288,3.7533
min,-0.7733,-0.9769,-0.977,-0.7659,0.0,0.0,2.8,3.2,-3.126,0.0
25%,0.1985,0.0,0.0,-0.0095,1.0,0.0,12.9333,13.0383,-0.3272,3.0
50%,0.348,0.0,0.0,0.1019,2.0,0.01,14.8267,14.9585,0.0281,5.0
75%,0.5053,0.0642,0.0,0.2291,2.0,0.0179,16.9438,17.1,0.3698,8.0
max,0.9541,0.9541,0.9541,1.0286,4.0,0.1053,40.2884,34.9702,1.5276,76.0
